"Project","Rebuild Last Target","F9","In Windows"
"Source","Quick Assist - Extract method","⌘2 M","Editing Java Source"
"Text Editing","Previous Word","⌥←","Editing Text"
"GenyMotion Category","GenyMotion Command","⌘6","In Windows"
"Editing","Select Enclosing Element","⇧⌃↑","Editing Xtext Source"
"Run/Debug","Run Ant Build","⌥⌘X Q","In Windows"
"Edit","Select Enclosing C/C++ Element","⇧⌃↑","C/C++ Editor"
"Run/Debug","New Rendering","⌘N","In Memory View"
"File","Save All","⇧⌘S","In Windows"
"Edit","Format Active Elements","⌘I","Editing in Structured Text Editors"
"Text Editing","Toggle Overwrite","Insert","Editing Text"
"Quick JUnit","JUnit Debug","⇧⌘0","Editing Text"
"File","Rename","F2","In Windows"
"Text Editing","To Lower Case","⇧⌘Y","Embedded Xtext Editor context"
"Text Editing","Next Word","⌥→","Embedded Xtext Editor context"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Navigate","Quick Outline","⌘O","PDE editor"
"Text Editing","Toggle Overwrite","Insert","Embedded Xtext Editor context"
"Text Editing","Text End","⌘↘","Embedded Xtext Editor context"
"Window","Previous Perspective","⇧⌘F8","In Windows"
"Edit","Restore Last C/C++ Selection","⇧⌃↓","C/C++ Editor"
"Editing","Toggle Comment","⇧⌘C","Editing Xtext Source"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Find and Replace","⌘F","In Windows"
"Text Editing","Text Start","↖","Embedded Xtext Editor context"
"Editing","Select Previous Element","⇧⌃←","Editing Xtext Source"
"Source","Toggle Mark Occurrences","⌥⌘O","Editing Java Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"C/C++ Source","Add Block Comment","⇧⌘/","C/C++ Editor"
"Edit","Toggle Insert Mode","⇧⌘Insert","Embedded Xtext Editor context"
"Navigate","Find References","⇧⌘G","Editing Xtext Source"
"Edit","Content Assist","⌃Space","In Dialogs and Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Editing Text"
"Window","Next Editor","⌘F6","In Windows"
"Text Editing","Select Line End","⇧⌘→","Embedded Xtext Editor context"
"Edit","Add Block Comment","⇧⌘/","Editing in Structured Text Editors"
"Window","Next View","⌘F7","In Windows"
"Text Editing","Scroll Line Down","⌃↓","Embedded Xtext Editor context"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Edit","Select Previous C/C++ Element","⇧⌃←","C/C++ Editor"
"C/C++ Source","Surround With Quick Menu","⇧⌥Z","C/C++ Editor"
"Navigate","Forward History","⌘]","In Windows"
"Search","Show Occurrences in File Quick Menu","⇧⌘U","In Windows"
"Run/Debug","Go to Address","⌘G","In Table Memory Rendering"
"Editing","Toggle Comment","⌘/","Editing Xtext Source"
"Text Editing","Move Lines Down","⌥↓","Embedded Xtext Editor context"
"Run/Debug","Step Return","F7","Debugging"
"Edit","Restore Last Selection","⇧⌃↓","Editing XML Source"
"Text Editing","Delete Line","⌘D","Embedded Xtext Editor context"
"Git","Paste Repository Path or URI","⌘V","In Git Repositories View"
"Edit","Find Next","⌘K","Editing Text"
"Reverse Debugging Commands","Reverse Step Over","⇧F6","Debugging C/C++"
"Source","Quick Assist - Assign to field","⌘2 F","Editing Java Source"
"Text Editing","Copy Lines","⌥⌘↓","Embedded Xtext Editor context"
"Refactor - Java","Rename - Refactoring ","⌥⌘R","In Windows"
"Quick JUnit","JUnit Test","⌃0","Editing Text"
"Edit","Incremental Find","⌘J","Editing Text"
"Edit","Select Next Element","⇧⌃↘","Editing Java Source"
"Window","Update Project","⌥F5","In Windows"
"Edit","Format","⇧⌘F","Editing in Structured Text Editors"
"Navigate","Previous","⇧⌘.","In Windows"
"Edit","Open Selection","F3","Editing in Structured Text Editors"
"Edit","Find Next","⌘K","Embedded Xtext Editor context"
"Edit","Toggle Insert Mode","⇧⌘Insert","Editing Text"
"Uncategorized","Quick Outline","⌘O","Editing Xtext Source"
"Uncategorized","Open Type in Hierarchy","F4","Editing Xtext Source"
"Uncategorized","Add Artifact to Target Platform","⇧⌥⌘A","In Windows"
"Refactoring","Rename Element","⌥⌘R","Editing Xtext Source"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Text Editing","Toggle Folding","⌘Numpad_Divide","Editing Text"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Uncategorized","Extract Method","⌥⌘M","Editing Xtext Source"
"Run/Debug","Run JUnit Plug-in Test","⌥⌘X P","In Windows"
"Run/Debug","Run to Line","⌘R","Debugging"
"Navigate","Previous Page","⇧⌥F7","In Windows"
"Navigate","Backward History","⌘[","In Windows"
"Manifest Editor Source","Format Source","⇧⌘F","PDE editor"
"Navigate","Open Type in Hierarchy","⇧⌘H","In C/C++ Views"
"Editing","Restore Last Selection","⇧⌃↓","Editing Xtext Source"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Refactor - C++","Rename - Refactoring ","⌥⌘R","In C/C++ Views"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","Editing Xtend Source"
"C/C++ Source","Open Element","⇧⌘T","In C/C++ Views"
"File","Save","⌘S","In Windows"
"Search","References in Workspace","⇧⌘G","In Windows"
"C/C++ Source","Declaration","⌘G","In C/C++ Views"
"Text Editing","Move Lines Up","⌥↑","Editing Text"
"Uncategorized","Copy SHA-1","⌘C","In Git Reflog View"
"Editing","Format","⇧⌘F","Editing Xtext Source"
"Navigate","Open Manifest","⇧⌥⌘M","In Windows"
"File","New","⌘N","In Windows"
"Run/Debug","All Instances","⇧⌘N","In Windows"
"Edit","Toggle Block Selection","⌥⌘A","Embedded Xtext Editor context"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Navigate","Open Type in Hierarchy","⇧⌘H","In Windows"
"Run/Debug","Debug","⌘F11","In Windows"
"Run/Debug","Toggle Breakpoint","⇧⌘B","In Windows"
"Text Editing","Insert Line Above Current Line","⇧⌘↩","Embedded Xtext Editor context"
"Navigate","Go to Next Member","⌃⌥↓","Editing Java Source"
"Spy","Plug-in Selection Spy","⇧⌥F1","In Dialogs and Windows"
"Quick JUnit","JUnit Debug","⇧⌃0","Editing Text"
"Navigate","Open Type","⇧⌘T","In Windows"
"Refactor - Java","Inline","⌥⌘I","In Windows"
"C/C++ Source","Forward","⌥→","In Macro Expansion Hover"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Uncategorized","Insert right guillemet","⌃>","Editing Xtend Source"
"Edit","Incremental Find","⌘J","Embedded Xtext Editor context"
"Source","Organize Imports","⇧⌘O","In Windows"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Run/Debug","Debug JUnit Test","⌃⌘9","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Uncategorized","Extract Local Variable","⌥⌘L","Editing Xtext Source"
"Text Editing","Show Tooltip Description","F2","Embedded Xtext Editor context"
"Uncategorized","Insert left guillemet","⌘<","Editing Xtend Source"
"Uncategorized","Insert left guillemet","⌃<","Editing Xtend Source"
"Views","Show View (Outline)","⌥⌘Q O","In Windows"
"Navigate","Go to Line","⌘L","Embedded Xtext Editor context"
"File","Print","⌘P","In Windows"
"Navigate","Open Call Hierarchy","⌃⌥H","In C/C++ Views"
"Search","Find Text in Workspace","⌥⌘G","In Windows"
"Views","Show View (Javadoc)","⌥⌘Q J","In Windows"
"Text Editing","Line Up","⌃K","In Windows"
"Project","Build All","⌘B","In Windows"
"Editing","Select Next Element","⇧⌃→","Editing Xtext Source"
"Edit","Add Maven Plugin","⇧⌃P","Editing XML Source"
"Android Refactorings","Extract Android String","⇧⌥A S","In Windows"
"Edit","Select Enclosing Element","⇧⌥↑","Editing in Structured Text Editors"
"Uncategorized","Open Call Hierarchy","⌃⌥H","Editing Xtext Source"
"Text Editing","Line Start","⌘←","Embedded Xtext Editor context"
"Source","Toggle Comment","⌘7","Editing Properties Files"
"Source","Add Block Comment","⌃⌘/","Editing Java Source"
"Navigate","Backward History","⌥⌘←","In Windows"
"Navigate","Open Declaration","F3","Editing Xtext Source"
"Run/Debug","Terminate","⌘F2","Debugging"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Source","Add Import","⇧⌘M","Editing Java Source"
"Run/Debug","Run OSGi Framework","⌥⌘X O","In Windows"
"Edit","Copy","⌘C","In Dialogs and Windows"
"Run/Debug","Add Memory Block","⌥⌘M","In Memory View"
"Text Editing","Delete to End of Line","⇧⌘⌦","Editing Text"
"Text Editing","Select Text Start","⇧↖","Embedded Xtext Editor context"
"Edit","Word Completion","⌃.","Embedded Xtext Editor context"
"Refactor - C++","Toggle Function - Refactoring ","⌥⌘T","C/C++ Editor"
"Edit","Select All","⌘A","In Dialogs and Windows"
"File","Close","⌘W","In Windows"
"Text Editing","Select Line Start","⇧⌘←","Embedded Xtext Editor context"
"Window","Quick Access","⌘3","In Windows"
"C/C++ Source","Comment/Uncomment","⌘/","C/C++ Editor"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Run/Debug","Run Android Application","⇧⌥A R","In Windows"
"Navigate","Quick Hierarchy","⌘T","Editing Xtext Source"
"Edit","Restore Last Selection","⇧⌃⇟","Editing Java Source"
"C/C++ Source","Go to Next Member","⌃⌥↓","C/C++ Editor"
"Run/Debug","Step Into","F5","Debugging"
"Views","Show View (History)","⌥⌘Q Z","In Windows"
"Views","Show View (Error Log)","⌥⌘Q L","In Windows"
"C/C++ Source","Open Element","⇧⌘T","C/C++ Editor"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Text Editing","Previous Word","⌥←","Embedded Xtext Editor context"
"Edit","Matching Tag","⇧⌃.","Editing in Structured Text Editors"
"C/C++ Source","Open Declaration","F3","C/C++ Editor"
"C/C++ Source","Sort Lines","⌃⌘S","C/C++ Editor"
"Text Editing","Select Next Word","⇧⌥→","Editing Text"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Refactor - Java","Change Method Signature","⌥⌘C","In Windows"
"Reverse Debugging Commands","Reverse Resume","⇧F8","Debugging C/C++"
"Run/Debug","EOF","⌃D","In I/O Console"
"Edit","Occurrences in File","⇧⌘A","Editing in Structured Text Editors"
"Edit","Select Next Element","⇧⌃→","Editing in Structured Text Editors"
"Run/Debug","Rerun JUnit Test","⌃⌘-","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Source","Toggle Comment","⌘7","Editing Java Source"
"Text Editing","Delete Next Word","⌥⌦","Editing Text"
"Text Editing","Text End","↘","Embedded Xtext Editor context"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"C/C++ Source","Go to Previous Member","⌃⌥↑","C/C++ Editor"
"Navigate","Last Edit Location","⌃Q","In Windows"
"Navigate","Forward History","⌥⌘→","In Windows"
"File","Refresh","F5","In Windows"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Text Editing","Select Previous Word","⇧⌥←","Embedded Xtext Editor context"
"Edit","Previous Sibling","⇧⌃↑","Editing in Structured Text Editors"
"Window","Show Contributing Plug-in","⇧⌥F3","In Dialogs and Windows"
"C/C++ Source","Back","⌥←","In Macro Expansion Hover"
"Run/Debug","Previous Page of Memory","⇧⌘,","In Table Memory Rendering"
"Run/Debug","Next Page of Memory","⇧⌘.","In Table Memory Rendering"
"Refactor - C++","Extract Constant - Refactoring ","⌥C","C/C++ Editor"
"Navigate","Next Sub-Tab","⌥⇟","In Dialogs and Windows"
"Views","Show View","⌥⌘Q Q","In Windows"
"Run/Debug","Debug Java Application","⌃⌥⌘D J","In Windows"
"Text Editing","Move Lines Up","⌥↑","Embedded Xtext Editor context"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"C/C++ Source","Go to Matching Bracket","⇧⌘P","C/C++ Editor"
"Edit","Quick Diff Toggle","⇧⌃Q","Editing Text"
"Edit","Add Maven Dependency","⇧⌃D","Editing XML Source"
"Navigate","Open Include Browser","⌥⌘I","C/C++ Editor"
"Navigate","Open Plug-in Artifact","⇧⌘A","In Windows"
"Text Editing","To Upper Case","⇧⌘X","Editing Text"
"Edit","Toggle Block Selection","⌥⌘A","Editing Text"
"Navigate","Open Include Browser","⌥⌘I","In C/C++ Views"
"Text Editing","Delete to End of Line","⇧⌘⌦","Embedded Xtext Editor context"
"Navigate","Go to Previous Member","⌃⌥↑","Editing Java Source"
"C/C++ Source","Indent Line","⌘I","C/C++ Editor"
"C/C++ Source","Declaration","⌘G","C/C++ Editor"
"Navigate","Open Type Hierarchy","F4","In C/C++ Views"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Edit","Paste","⌘V","In Dialogs and Windows"
"Text Editing","Delete Previous Word","⌥⌫","Embedded Xtext Editor context"
"Navigate","Open Maven POM","⇧⌥P","In Windows"
"Run/Debug","Execute","⌘U","In Windows"
"Text Editing","Delete Line","⌘D","Editing Text"
"Uncategorized","Organize Imports","⇧⌘O","Editing Xtext Source"
"Quick JUnit","JUnit Test","⌘0","Editing Text"
"Text Editing","Delete Previous Word","⌥⌫","Editing Text"
"Navigate","Go to Line","⌘L","Editing Text"
"File","Close All","⇧⌘W","In Windows"
"Navigate","Quick Outline","⌘O","Editing Java Source"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Window","Next Perspective","⌘[","In Windows"
"Text Editing","Collapse","⌘Numpad_Subtract","Editing Text"
"Project","Build Clean","⇧⌃C","In Windows"
"Text Editing","Delete Next Word","⌥⌦","Embedded Xtext Editor context"
